id,experiment,model,disease,variable,tag,score,ranking
20,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,1.0,1.0,1
19,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,1.0,0.91107124,2
441,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,1.0,0.9066509,3
221,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,1.0,0.90503484,4
125,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,0.0,0.8922755,5
108,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,1.0,0.8843689,6
263,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,1.0,0.8746949,7
321,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,0.0,0.8443048,8
278,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,0.0,0.84416354,9
346,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,1.0,0.8416579,10
109,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,0.0,0.83878154,11
389,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,1.0,0.83301896,12
347,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,0.0,0.8322557,13
88,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,1.0,0.83001155,14
195,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,0.0,0.8263507,15
104,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,1.0,0.82196146,16
87,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,1.0,0.8102433,17
285,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,1.0,0.806738,18
387,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,0.0,0.7960423,19
182,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,0.0,0.7931596,20
39,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,1.0,0.7804955,21
80,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,1.0,0.7756172,22
443,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,0.0,0.77004087,23
288,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,0.0,0.7683027,24
112,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,0.0,0.76308185,25
18,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,0.0,0.7549391,26
8,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,0.0,0.7543696,27
330,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,0.0,0.75349456,28
436,h-05-baseline-protocol,all-MiniLM-L6-v2,cchf,rainfall,1.0,0.75044304,29
