id,experiment,model,disease,variable,tag,score,ranking
407,h-05-single-zsfc-2,gpt-4o-mini,cchf,rainfall,1.0,1.0,1
321,h-05-single-zsfc-2,gpt-4o-mini,cchf,rainfall,0.0,1.0,2
389,h-05-single-zsfc-2,gpt-4o-mini,cchf,rainfall,1.0,1.0,3
221,h-05-single-zsfc-2,gpt-4o-mini,cchf,rainfall,1.0,1.0,4
39,h-05-single-zsfc-2,gpt-4o-mini,cchf,rainfall,1.0,1.0,5
441,h-05-single-zsfc-2,gpt-4o-mini,cchf,rainfall,1.0,1.0,6
88,h-05-single-zsfc-2,gpt-4o-mini,cchf,rainfall,1.0,1.0,7
104,h-05-single-zsfc-2,gpt-4o-mini,cchf,rainfall,1.0,1.0,8
80,h-05-single-zsfc-2,gpt-4o-mini,cchf,rainfall,1.0,1.0,9
87,h-05-single-zsfc-2,gpt-4o-mini,cchf,rainfall,1.0,1.0,10
178,h-05-single-zsfc-2,gpt-4o-mini,cchf,rainfall,1.0,1.0,11
19,h-05-single-zsfc-2,gpt-4o-mini,cchf,rainfall,1.0,1.0,12
20,h-05-single-zsfc-2,gpt-4o-mini,cchf,rainfall,1.0,1.0,13
263,h-05-single-zsfc-2,gpt-4o-mini,cchf,rainfall,1.0,1.0,14
108,h-05-single-zsfc-2,gpt-4o-mini,cchf,rainfall,1.0,1.0,15
29,h-05-single-zsfc-2,gpt-4o-mini,cchf,rainfall,1.0,1.0,16
285,h-05-single-zsfc-2,gpt-4o-mini,cchf,rainfall,1.0,1.0,17
157,h-05-single-zsfc-2,gpt-4o-mini,cchf,rainfall,1.0,1.0,18
436,h-05-single-zsfc-2,gpt-4o-mini,cchf,rainfall,1.0,0.75,19
163,h-05-single-zsfc-2,gpt-4o-mini,cchf,rainfall,1.0,0.75,20
265,h-05-single-zsfc-2,gpt-4o-mini,cchf,rainfall,1.0,0.75,21
240,h-05-single-zsfc-2,gpt-4o-mini,cchf,rainfall,1.0,0.25,22
239,h-05-single-zsfc-2,gpt-4o-mini,cchf,rainfall,0.0,0.25,23
